vendor_id,specialty_category,specialty_value
recVKLCV2abvVNeYJ,tutoring,Science
recVWL98buSNd0tuh,tutoring,Math
recVWL98buSNd0tuh,tutoring,English/Language Arts
recVWL98buSNd0tuh,tutoring,Social Studies/Humanities
recVWL98buSNd0tuh,tutoring,Science
recVnQxMZI3DlSBcY,therapy,Behavioral
recVuLaoDmafDs2rD,tutoring,English/Language Arts
recVuLaoDmafDs2rD,tutoring,Foreign Language
recVuLaoDmafDs2rD,tutoring,Neurodivergent-Focused
recVuLaoDmafDs2rD,tutoring,Social Studies/Humanities
recVuLaoDmafDs2rD,tutoring,Science
recVuLaoDmafDs2rD,tutoring,Math
recW3H1otqn24OHCY,enrichment,Music
recW6pB3vAkYpXwK6,therapy,Behavioral
recWBv76cqmIYI2mB,therapy,Occupational
recWBv76cqmIYI2mB,therapy,Speech
recWCHK63AjUgFuGs,therapy,Physical
recWFJTr71SOg050L,therapy,Occupational
recWFJTr71SOg050L,therapy,Physical
recWFJTr71SOg050L,therapy,Speech
recWS8TqMWR0IsBiq,therapy,Behavioral
recWeNLBnhrCx13M0,tutoring,Math
recWqH4niiKfgjlpg,tutoring,Math
recWuPKfF8OeyZIjV,therapy,Behavioral
recX88v9dajrSWwcB,therapy,Dyslexia/Dsygraphia
recXFLTk7X0Kn1aMt,therapy,Occupational
recXFLTk7X0Kn1aMt,therapy,Speech
recXL90cXKowEqsaq,tutoring,Math
recXL90cXKowEqsaq,tutoring,English/Language Arts
recXTmQup95a9B9o1,tutoring,Math
recXVnbSNZ0Wz3MsX,therapy,Autism Support
recXVnbSNZ0Wz3MsX,therapy,Occupational
recXVnbSNZ0Wz3MsX,therapy,Other Therapy
recXVnbSNZ0Wz3MsX,therapy,Speech
recXdMTi0htBA4HNR,therapy,Speech
recXdOe3ZtcHnWGWt,tutoring,Math
recXdOe3ZtcHnWGWt,tutoring,English/Language Arts
recXdOe3ZtcHnWGWt,tutoring,Social Studies/Humanities
recXdOe3ZtcHnWGWt,tutoring,Science
recXuJDAxOUpn2LuJ,tutoring,Math
recXuJDAxOUpn2LuJ,tutoring,English/Language Arts
recXuJDAxOUpn2LuJ,tutoring,Foreign Language
recY5xb2gjMKpseN6,tutoring,Math
recY5xb2gjMKpseN6,tutoring,English/Language Arts
recYC86hiDsFs8L6f,enrichment,Coding
recYMPm2W511upKw2,tutoring,Foreign Language
recYMPm2W511upKw2,tutoring,Math
recYMPm2W511upKw2,tutoring,English/Language Arts
recYflRCml6P3CkOi,enrichment,Swim
